Method,Al,Ba,Ca,Ce,Distance,Fe,K,La,Li,Mg,Mn,Na,Rb,Si,Sr,Ti,Xan,Y,Si_sd,Li_sd,Mg_sd,K_sd,Ti_sd,Ca_sd,Sr_sd,Rb_sd,Y_sd,Ba_sd,La_sd,Ce_sd,Xan_sd,Fe_sd,Al_sd,Mn_sd,Na_sd,Profile
EPMA,162791.751134266,,107152.157268347,,54.9542238332,4546.4560216245,254.0252197546,,,1256.7905795687,673.0035496085,21255.6836982968,,233978.288987306,,279.893133231,0.7430465249,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,163403.559192705,,107212.191292749,,60.0409695482,4246.4163525619,215.8384220137,,,1340.2415405106,130.8833140205,21090.2496111574,,230993.717019255,,287.0852480035,0.7446420283,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,163792.554800795,,108635.140609229,,65.0048891482,4785.8659130009,318.7767463587,,,1274.2883617017,-12.3913196706,21368.4459460332,,231714.969101745,,285.8865622081,0.7446573258,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,7.0514527265,84191.430803914,0.3744332608,67.2213260905,,225.3325910997,0.2141220144,0.7567139253,1300.4268939087,,,,230937.879435503,156.9480734028,208.5167260923,0.7547277952,0.1502217274,1022.8742794148,0.1151271118,6.3625729463,8.1342091107,17.1923383031,823.4833999203,4.9033370696,,0.1187607032,1.7853309985,0.1642200155,0.1827107211,,,,,,SKU_1_C3_P3
SIMS,,7.5079224948,83259.4987105768,0.370913783,67.4987832987,,239.8052856536,0.2162729913,0.782168642,1322.2908274358,,,,230840.602077777,163.605475259,221.8759185019,0.7559884331,0.1142997156,1022.4434167627,0.1189998145,6.4695461815,8.6566542808,18.2938123175,814.3680944624,5.1113261491,,0.0903618593,1.9009028755,0.1658696985,0.1809933354,,,,,,SKU_1_C3_P3
EPMA,166512.348583075,,109749.3435145,,69.995172749,4101.0603470834,277.2693575099,,,1238.395475275,111.5218770352,19089.4615707306,,229965.360193928,,236.1411016981,0.7673308779,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,168727.241943425,,113267.051468149,,74.9590923491,4302.3823011954,364.4348740923,,,1250.0606633637,-292.7449272175,17297.8771741305,,229060.40618764,,278.0951045379,0.7897472578,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,178438.901002548,,129436.930064518,,80.045838064,3685.9795613854,37.3566499639,,,889.3371547757,510.3674789321,8555.8355469935,,212568.367318917,,119.8685795422,0.8966753839,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,180284.380846644,,128834.445748198,,85.0097576641,3413.9228666396,175.1611809419,,,918.9487860777,248.6008508911,8704.9487824869,,214327.324925147,,118.6698937468,0.8946245664,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,4.1423225133,95719.8335160077,0.1754517556,89.6169543654,,76.4097586418,0.1266574804,0.3758197368,929.1675813105,,,,213864.270111687,130.8101846314,85.2342552241,0.8967571854,0.0941625694,947.251536724,0.0571775402,4.5461198497,2.7582914298,7.0276192145,936.2436674482,4.0867429174,,0.0744420474,1.0487791772,0.0971394438,0.085614501,,,,,,SKU_1_C3_P3
EPMA,178237.258381212,,130103.73654984,,90.0000412648,3648.6689289632,42.3375366258,,,920.743430399,48.7908212029,8575.8656831046,,213825.76725534,,128.8587230078,0.8969345119,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,179067.115678471,,130442.499973251,,94.9639608649,3722.5128889656,70.5625610429,,,918.5001249974,487.1337545498,8172.2955333114,,210466.779915885,,123.4646369284,0.9015370471,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,5.1845204997,95202.9306747331,0.1850884044,95.2911228952,,76.0805375102,0.0635027067,0.337453997,903.9676768686,,,,210653.101170731,126.8008958503,88.4538507343,0.901556733,0.0837499465,933.0285685189,0.0513405433,4.4228247755,2.7464069815,7.293076937,931.1877976869,3.9614856022,,0.0662101462,1.3126493957,0.0487031448,0.0903168585,,,,,,SKU_1_C3_P3
EPMA,179023.188283271,,128805.85811753,,99.9542444657,3007.392434205,90.4861076903,,,957.084977906,308.2340768057,8042.470577036,,213308.784233152,,96.4942065315,0.901837322,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,178616.198320521,,128871.609668066,,105.0146261799,3452.7881087461,180.1420676037,,,939.587195773,-552.9626402998,8105.5284129412,,212079.430391966,,74.3185193162,0.901189206,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,178982.436362424,,129935.069528901,,110.0049097807,3435.6874022192,120.3714276615,,,911.7702087924,-44.9185338059,7575.1007344447,,211748.019033258,,125.8620085193,0.9077449402,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,178053.610114535,,129834.298130798,,114.9951933814,3100.6690152608,56.4500488343,,,963.814894111,-87.5136951735,8034.310151213,,211816.264531666,,158.8258678934,0.9026283647,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,178927.924052719,,130450.361571685,,119.9591129815,3537.5143365384,216.6685697907,,,977.7233876014,-91.3859825705,7805.8182281684,,214564.314429893,,123.4646369284,0.9055405569,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,4.1962895893,96225.261271439,0.1457332099,122.6482702169,,70.1793258897,0.0957084768,0.3524469827,950.8833552065,,,,212915.186057105,127.1289703157,84.3392193314,0.9028010579,0.0913674876,943.0478362708,0.0536215891,4.6523681871,2.5333810313,6.9538229289,941.1872984387,3.9717352323,,0.0722323412,1.0624428998,0.0734032303,0.0711128595,,,,,,SKU_1_C3_P3
